Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Gm17039	2.25917245625143	2.25309521160969	2.30769876419034	2.28166836246637	2.290698490126	2.26071785977074	2.31361982026286	2.31412772796871	2.34050730681178	2.25155952609564
Gm17040	0.956128018576761	0.95641691000819	1.00384704465496	0.984711935998737	0.956441914412234	0.956427715769724	0.974627416688682	0.955978088199532	0.965813251395482	0.990513844308417
Gm17055	4.42795390335069	4.46935167576562	4.48216068761123	4.46312455213562	4.47734675448193	4.4502926181791	4.46917708316793	4.46502926271216	4.45523711549623	4.44835356212881
Gm17056	3.75719349697564	3.73858236250557	3.75400239892083	3.79643554992278	3.74639762199339	3.73161182012066	3.83622421402909	3.80434867652912	3.8088401945923	3.82664246847028
Gm17058	1.4995692707375	1.53682060878654	1.52054929348383	1.51422165826165	1.5150769158438	1.50001029143341	1.55437990047842	1.52445768483819	1.51848597165885	1.51672249348135
Gm17066	5.80847087113711	5.89139834970099	5.86946269339953	5.94920803401853	5.95019826181705	6.04102982697611	6.03673538219563	5.92698336953746	6.09594834008898	6.03382232641753
Gm17068	0.654817114971863	0.655054991539745	0.6688839581006	0.690584035090961	0.692323770377588	0.662604716444929	0.660994060660669	0.661058160832785	0.655498825089841	0.660486591381624
Gm17072	0.190616550430442	0.184804335261346	0.184196503915	0.19169385879055	0.177261796779168	0.207210946609636	0.176973169258526	0.176984314642312	0.1865426977173	0.176884944132096
Gm17080	0.839991313200469	0.841009156070134	0.833367266202293	0.875756319558928	0.833563735963573	0.863157356216021	0.839397176465301	0.833136553680351	0.834037288555067	0.867736468376214
Gm17083	2.87077318880225	2.83651309755331	2.83339253679734	2.8276507688968	2.87332174307434	2.80660174358023	2.82891655026298	2.95745232959067	2.84540008741318	2.81462927580296
Gm17087	2.13046436991899	2.11541861089907	2.09898981107134	2.10688117982598	2.09366310812309	2.10829977924287	2.09010580519735	2.1150297648426	2.09744442516549	2.12908825711155
Gm17089	3.53793563877975	3.57604098295782	3.5158733366034	3.53857489363311	3.50082192299365	3.50768207734575	3.52545129131344	3.48383136147147	3.54593318375752	3.54178373826693
Gm17092	2.43892078152614	2.46432966838304	2.46051714618818	2.48932550826646	2.45033860642977	2.46454808854661	2.4489841095379	2.44316524309816	2.41446923800354	2.43480132612923
Gm17096	3.15545335127934	3.14643930278088	3.28527989759148	3.18016354291338	3.14681557719014	3.14660192902386	3.1458198285545	3.17104011953167	3.22232570776656	3.19471728737098
Gm17108	1.18314542056272	1.17671400863987	1.18352841174873	1.19105058766772	1.22136867380561	1.24250217753877	1.18250322254112	1.17619228323661	1.17735458593631	1.19371156398984
Gm17111	0.0819737821346784	0.0630878314952186	0.0830513497080096	0.0555793816623259	0.0556482438447083	0.0556406536018058	0.0678702923869507	0.0554003279993565	0.0559231674381483	0.0553116037408021
Gm17130	1.31870338212974	1.28222382210554	1.27357386831038	1.25961289452934	1.28244928586255	1.25975818755823	1.25916441608051	1.2782599200895	1.29579001399683	1.25897737434639
Gm17135	1.14902607106206	1.16553491962601	1.13570553289867	1.14302906729584	1.18037371035908	1.1359335533108	1.14170099841996	1.14807678424209	1.1454407852684	1.17013089348024
Gm17137	4.91231253286696	4.81729805319542	4.91314850084983	4.83909879072755	4.83159224757261	4.76027372061234	4.73257843274294	4.68681561792279	4.78320212126424	4.71834418174335
Gm17146	1.11316420117465	1.10833812904378	1.09318505002774	1.12185549063462	1.12331358720795	1.12315295085581	1.09919385376965	1.09290606623307	1.09399492244213	1.11616894381959
Gm17151	3.12950932463321	3.15004232316469	3.15162235830262	3.14045567751354	3.17174431887911	3.13608167734841	3.14381577992093	3.15032363514695	3.12199288589812	3.15616339693741
Gm17173	5.70936943314954	5.55276756445814	5.47431283960633	5.54284601407354	5.59749156273701	5.55994228726901	5.57090527590642	5.64129005484344	5.87518844829079	5.66608341829411
Gm17191	5.95874418554126	6.0634077458586	6.11493485590033	6.03357563375616	5.99621185460592	5.87736540986895	5.96260717257988	6.04334588637993	5.91781641573587	5.94909789150651
